E_MeV,D_cm2,A_temp,A_time_min
0.08,80000000000000,895,118
0.0842105263157895,82105263157894.7,896.052631578947,118.421052631579
0.0884210526315789,84210526315789.5,897.105263157895,118.842105263158
0.0926315789473684,86315789473684.2,898.157894736842,119.263157894737
0.0968421052631579,88421052631579,899.210526315789,119.684210526316
0.101052631578947,90526315789473.7,900.263157894737,120.105263157895
0.105263157894737,92631578947368.4,901.315789473684,120.526315789474
0.109473684210526,94736842105263.2,902.368421052632,120.947368421053
0.113684210526316,96842105263157.9,903.421052631579,121.368421052632
0.117894736842105,98947368421052.6,904.473684210526,121.789473684211
0.0821052631578947,81052631578947.4,895.526315789474,118.210526315789
0.0863157894736842,83157894736842.1,896.578947368421,118.631578947368
0.0905263157894737,85263157894736.8,897.631578947368,119.052631578947
0.0947368421052632,87368421052631.6,898.684210526316,119.473684210526
0.0989473684210526,89473684210526.3,899.736842105263,119.894736842105
0.103157894736842,91578947368421,900.789473684211,120.315789473684
0.107368421052632,93684210526315.8,901.842105263158,120.736842105263
0.111578947368421,95789473684210.5,902.894736842105,121.157894736842
0.115789473684211,97894736842105.3,903.947368421053,121.578947368421
0.12,100000000000000,905,122
