Pressure_GPa,Temp,Time_min,Size_um,DWF
7,1295,0.1,10,0.609
7.66666666666667,1301.66666666667,0.113333333333333,13.3333333333333,0.610333333333333
8,1595,0.1,0.03,0.57
8.66666666666667,1601.66666666667,0.113333333333333,0.0766666666666667,0.571333333333333
8.3,1895,235,98,0.614
8.56666666666667,1901.66666666667,241.666666666667,100.666666666667,0.615333333333333
7.8,1295,0.8,0.1,0.603
8.06666666666667,1301.66666666667,1.06666666666667,0.366666666666667,0.604333333333333
6.8,1795,3590,448,0.564
7.06666666666667,1801.66666666667,3600,450.666666666667,0.565333333333333
7.33333333333333,1298.33333333333,0.106666666666667,11.6666666666667,0.609666666666667
8,1305,0.12,15,0.611
8.33333333333333,1598.33333333333,0.106666666666667,0.0533333333333333,0.570666666666667
9,1605,0.12,0.1,0.572
8.43333333333333,1898.33333333333,238.333333333333,99.3333333333333,0.614666666666667
8.7,1905,245,102,0.616
7.93333333333333,1298.33333333333,0.933333333333333,0.233333333333333,0.603666666666667
8.2,1305,1.2,0.5,0.605
6.93333333333333,1798.33333333333,3595,449.333333333333,0.564666666666667
7.2,1805,3605,452,0.566
