E_MeV,D_cm2,A_temp,A_time_min
128,190000000,795,28
128.275862068966,191379310.344828,795.689655172414,28.2758620689655
128.551724137931,192758620.689655,796.379310344828,28.551724137931
128.827586206897,194137931.034483,797.068965517241,28.8275862068966
129.103448275862,195517241.37931,797.758620689655,29.1034482758621
129.379310344828,196896551.724138,798.448275862069,29.3793103448276
129.655172413793,198275862.068966,799.137931034483,29.6551724137931
129.931034482759,199655172.413793,799.827586206897,29.9310344827586
130.206896551724,201034482.758621,800.51724137931,30.2068965517241
130.48275862069,202413793.103448,801.206896551724,30.4827586206897
130.758620689655,203793103.448276,801.896551724138,30.7586206896552
131.034482758621,205172413.793103,802.586206896552,31.0344827586207
131.310344827586,206551724.137931,803.275862068965,31.3103448275862
131.586206896552,207931034.482759,803.965517241379,31.5862068965517
131.862068965517,209310344.827586,804.655172413793,31.8620689655172
148,19000000000000,2095,28
148.275862068966,19137931034482.8,2095.68965517241,28.2758620689655
148.551724137931,19275862068965.5,2096.37931034483,28.551724137931
148.827586206897,19413793103448.3,2097.06896551724,28.8275862068966
149.103448275862,19551724137931,2097.75862068966,29.1034482758621
149.379310344828,19689655172413.8,2098.44827586207,29.3793103448276
149.655172413793,19827586206896.6,2099.13793103448,29.6551724137931
149.931034482759,19965517241379.3,2099.8275862069,29.9310344827586
150.206896551724,20103448275862.1,2100.51724137931,30.2068965517241
150.48275862069,20241379310344.8,2101.20689655172,30.4827586206897
150.758620689655,20379310344827.6,2101.89655172414,30.7586206896552
151.034482758621,20517241379310.3,2102.58620689655,31.0344827586207
151.310344827586,20655172413793.1,2103.27586206897,31.3103448275862
151.586206896552,20793103448275.9,2103.96551724138,31.5862068965517
151.862068965517,20931034482758.6,2104.65517241379,31.8620689655172
58,290000000000,895,28
58.2758620689655,291379310344.828,895.689655172414,28.2758620689655
58.551724137931,292758620689.655,896.379310344828,28.551724137931
58.8275862068966,294137931034.483,897.068965517241,28.8275862068966
59.1034482758621,295517241379.31,897.758620689655,29.1034482758621
59.3793103448276,296896551724.138,898.448275862069,29.3793103448276
59.6551724137931,298275862068.966,899.137931034483,29.6551724137931
59.9310344827586,299655172413.793,899.827586206897,29.9310344827586
60.2068965517241,301034482758.621,900.51724137931,30.2068965517241
60.4827586206897,302413793103.448,901.206896551724,30.4827586206897
60.7586206896552,303793103448.276,901.896551724138,30.7586206896552
61.0344827586207,305172413793.103,902.586206896552,31.0344827586207
61.3103448275862,306551724137.931,903.275862068965,31.3103448275862
61.5862068965517,307931034482.759,903.965517241379,31.5862068965517
61.8620689655172,309310344827.586,904.655172413793,31.8620689655172
58,19000000000,945,115
58.2758620689655,19137931034.4828,945.689655172414,115.689655172414
58.551724137931,19275862068.9655,946.379310344828,116.379310344828
58.8275862068966,19413793103.4483,947.068965517241,117.068965517241
59.1034482758621,19551724137.931,947.758620689655,117.758620689655
59.3793103448276,19689655172.4138,948.448275862069,118.448275862069
59.6551724137931,19827586206.8966,949.137931034483,119.137931034483
59.9310344827586,19965517241.3793,949.827586206897,119.827586206897
60.2068965517241,20103448275.8621,950.51724137931,120.51724137931
60.4827586206897,20241379310.3448,951.206896551724,121.206896551724
60.7586206896552,20379310344.8276,951.896551724138,121.896551724138
